ExpNum,TestNum,StartFrame,EndFrame,VecDistance,,,動作1,動作2,動作3,動作4,動作5,動作6
5,3,270,359,0.995848183,-1111,,,,,,,
5,3,360,449,0.904534588,-1111,,,,,,,
5,3,450,539,0.888102446,-1111,,,,,,,
5,3,540,629,0.973515844,-1111,,,,,,,
5,3,630,719,0.986148335,0.927067644,,,,,,,
6,1,0,89,0.990371852,-1111,,,,,,,
6,1,90,179,-0.057073197,-1111,,,,,,,
6,1,180,269,0.823199589,-1111,,,,,,,
6,1,270,359,0.196447141,-1111,,,,,,,
6,1,360,449,-0.096094852,-1111,,,,,,,
6,1,450,539,0.840900494,-1111,,,,,,,
6,1,540,629,-0.74467942,-1111,,,,,,,
6,1,630,719,-0.624816074,0.166031942,,,,,,,
6,2,0,89,0.99477168,-1111,,,,,,,
6,2,90,179,0.938060094,-1111,,,,,,,
6,2,180,269,0.934382306,-1111,,,,,,,
6,2,270,359,0.966636952,-1111,,,,,,,
6,2,360,449,0.944916403,-1111,,,,,,,
6,2,450,539,0.956045139,-1111,,,,,,,
6,2,540,629,0.952548618,-1111,,,,,,,
6,2,630,719,0.773581706,0.932617862,,,,,,,
6,3,0,89,0.988241131,-1111,,,,,,,
6,3,90,179,0.935005537,-1111,,,,,,,
6,3,180,269,0.889179592,-1111,,,,,,,
6,3,270,359,0.944046299,-1111,,,,,,,
6,3,360,449,0.941528464,-1111,,,,,,,
6,3,450,539,0.870359383,-1111,,,,,,,
6,3,540,629,0.932691982,-1111,,,,,,,
6,3,630,719,0.667872321,0.896115589,,,,,,,
