Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset,
1,3.755545,0.2986383,1.670944,3.2737617,0.3880411,-0.09273767,0.03057893,-0.9164544,,,,,
1,3.766656,0.2959496,1.669221,3.2764461,0.3905382,-0.08973467,0.04009925,-0.9153248,,,,,
1,3.777767,0.2930533,1.667368,3.279313,0.392429,-0.08699411,0.04980458,-0.9143036,,,,,
1,3.788878,0.2899448,1.664728,3.282864,0.3937144,-0.0850303,0.05965604,-0.9133455,,,,,
1,3.799989,0.2865616,1.661642,3.2868413,0.3945222,-0.08328316,0.06837266,-0.9125466,,,,,
1,3.8111,0.2830699,1.658224,3.2911385,0.3947454,-0.08106915,0.07696046,-0.9119655,,,,,
1,3.822211,0.2794123,1.654148,3.2959979,0.3947237,-0.0786539,0.0855114,-0.9114245,,,,,
1,3.833322,0.2752337,1.649629,3.3012139,0.3946643,-0.07761812,0.09204479,-0.9109024,,,,,
1,3.844433,0.27066,1.644424,3.3068784,0.3947259,-0.07876123,0.09516802,-0.9104565,,,,,
1,3.855544,0.2660987,1.639334,3.3122833,0.3942163,-0.08027236,0.0975417,-0.9102942,,,,,
1,3.866655,0.2609787,1.633396,3.3179591,0.3906163,-0.08289848,0.09675987,-0.911693,,,,,
1,3.877766,0.2558751,1.626855,3.3238657,0.3841057,-0.08420359,0.09480087,-0.9145411,,,,,
1,3.888877,0.2511869,1.620523,3.3295946,0.3782933,-0.08370808,0.09420121,-0.9170677,,,,,
1,3.899988,0.246173,1.611381,3.3360538,0.3683999,-0.08014543,0.09086576,-0.9217384,,,,,
1,3.911099,0.2413623,1.603078,3.3423265,0.3614306,-0.07691379,0.08990987,-0.9248613,,,,,
1,3.92221,0.2361038,1.592773,3.3489668,0.3524561,-0.07194103,0.08932194,-0.9287738,,,,,
1,3.933321,0.2305163,1.581835,3.3555265,0.3418846,-0.06782821,0.08813687,-0.9331379,,,,,
1,3.944432,0.22505,1.571556,3.3619132,0.330623,-0.06473322,0.08624735,-0.9375817,,,,,
1,3.955544,0.219275,1.560022,3.3679337,0.3148083,-0.06124894,0.08149849,-0.9436643,,,,,
1,3.966655,0.2136185,1.548125,3.3735865,0.2966397,-0.05642714,0.07430734,-0.9504206,,,,,
1,3.977766,0.2085754,1.535811,3.3787262,0.2761856,-0.04781879,0.06780749,-0.9575161,,,,,
1,3.988877,0.2035476,1.522767,3.3838934,0.2548288,-0.03704495,0.06337065,-0.9641961,,,,,
1,3.999988,0.1982705,1.509391,3.38855,0.2338155,-0.02727901,0.05792035,-0.9701707,,,,,
