Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset,,
1,2.355556,0.2527644,1.612279,0.3884418,0.2943717,-0.04895096,0.3956828,-0.868553,,,,,,
1,2.366668,0.2491411,1.620568,0.386659,0.29554,-0.04567005,0.3904113,-0.8707178,,,,,,
1,2.377779,0.2459411,1.628586,0.3851117,0.2985255,-0.0386706,0.3876955,-0.8712516,,,,,,
1,2.38889,0.2427074,1.636211,0.3835752,0.30257,-0.02967382,0.3876121,-0.8702458,,,,,,
1,2.400001,0.2402583,1.643379,0.3818348,0.3070865,-0.01721533,0.3883097,-0.8686871,,,,,,
1,2.411112,0.238724,1.650178,0.3796095,0.3113726,-0.003913114,0.3871217,-0.8678529,,,,,,
1,2.422223,0.2373966,1.657066,0.3773505,0.3157007,0.008387573,0.383584,-0.8678284,,,,,,
1,2.433334,0.2360157,1.663781,0.3749449,0.3202879,0.01867871,0.379366,-0.8678412,,,,,,
1,2.444445,0.2353188,1.670061,0.3722663,0.3266973,0.02733022,0.3733987,-0.8678107,,,,,,
1,2.455556,0.2347799,1.675868,0.3694604,0.3347478,0.03471138,0.3679492,-0.866806,,,,,,
1,2.466667,0.2345144,1.681514,0.3660671,0.3430596,0.0389074,0.3605568,-0.8664843,,,,,,
1,2.477778,0.2340971,1.687403,0.3629811,0.3501144,0.04288712,0.3526939,-0.8667109,,,,,,
1,2.488889,0.2343896,1.692799,0.3592884,0.3575436,0.04369882,0.3432548,-0.8674269,,,,,,
1,2.5,0.2350663,1.698059,0.355354,0.3650301,0.04605354,0.3347883,-0.8674958,,,,,,
1,2.511111,0.2361197,1.703022,0.3515088,0.373035,0.05047663,0.3268227,-0.8668818,,,,,,
1,2.522222,0.2370779,1.708188,0.3479424,0.3804886,0.05532024,0.3187666,-0.8663464,,,,,,
1,2.533333,0.2387464,1.712858,0.3440074,0.3883113,0.06027195,0.3101052,-0.8656885,,,,,,
1,2.544444,0.2408744,1.71744,0.3402543,0.3956453,0.06653414,0.3011579,-0.8650677,,,,,,
1,2.555555,0.2433321,1.721897,0.3361607,0.4021959,0.07179552,0.2906057,-0.8652354,,,,,,
1,2.566666,0.2454528,1.72653,0.3322562,0.4088259,0.07613795,0.2803077,-0.8651543,,,,,,
1,2.577777,0.2482285,1.730711,0.3278384,0.4151416,0.0797042,0.269795,-0.8651679,,,,,,
1,2.588888,0.2514217,1.734734,0.3232747,0.4201994,0.08163327,0.257646,-0.8662489,,,,,,
1,2.599999,0.254452,1.738722,0.3182526,0.4239871,0.08181282,0.2452311,-0.8679882,,,,,,
1,2.61111,0.2577372,1.742682,0.3132161,0.4278519,0.08151525,0.2338876,-0.8692495,,,,,,
1,2.622221,0.2608338,1.746567,0.3084963,0.4326515,0.08285465,0.2233672,-0.8695142,,,,,,
1,2.633332,0.264486,1.75009,0.303667,0.4378361,0.08588586,0.2134298,-0.8691208,,,,,,
1,2.644443,0.2683359,1.753418,0.2989649,0.4429188,0.09007338,0.204098,-0.8683628,,,,,,
1,2.655554,0.271936,1.756397,0.2943486,0.4488661,0.09393918,0.1971482,-0.866503,,,,,,
1,2.666665,0.2754249,1.759188,0.2896825,0.4561677,0.09604852,0.1915399,-0.8637119,,,,,,
1,2.677776,0.2788172,1.762028,0.2852728,0.4632849,0.0976068,0.1845995,-0.8612567,,,,,,
1,2.688887,0.282743,1.764113,0.2806383,0.4711736,0.09725959,0.1777242,-0.858458,,,,,,
1,2.699998,0.2867598,1.766084,0.2757299,0.47822,0.09480874,0.1685752,-0.8566793,,,,,,
1,2.711109,0.2909797,1.768263,0.2703295,0.4841855,0.09319019,0.1587646,-0.8553795,,,,,,
1,2.72222,0.2961121,1.76924,0.2645658,0.4890318,0.0935483,0.1497414,-0.8542098,,,,,,
1,2.733331,0.3006222,1.770857,0.2593625,0.4953171,0.09375878,0.1426948,-0.8517679,,,,,,
1,2.744442,0.3049113,1.771194,0.2543829,0.5037121,0.09283827,0.1392595,-0.8475034,,,,,,
1,2.755553,0.3092018,1.771065,0.24962469,0.5141329,0.09252959,0.1392296,-0.8412614,,,,,,
1,2.766664,0.3134036,1.770205,0.24548925,0.5261644,0.09209266,0.1405012,-0.8336244,,,,,,
1,2.777775,0.3179709,1.76982,0.24118217,0.5374193,0.09162365,0.1404553,-0.8264732,,,,,,
1,2.788886,0.3227979,1.768608,0.23660054,0.5487975,0.08939555,0.1406955,-0.8191671,,,,,,
1,2.799997,0.327583,1.767371,0.23232647,0.5591071,0.08620693,0.1392103,-0.8127657,,,,,,
1,2.811108,0.3331734,1.764654,0.22768432,0.5695121,0.0791605,0.1374171,-0.8065397,,,,,,
1,2.822219,0.3382815,1.762574,0.22318678,0.5792153,0.07288983,0.1355069,-0.8005215,,,,,,
1,2.83333,0.3436466,1.75983,0.21925276,0.5894341,0.06499927,0.1349171,-0.7938136,,,,,,
